Argument ID	Text	Labels
C26001	[C] We should abolish the 996 overtime system [/C] [F] [P] China's 996 overtime system is very inefficient in enhancing your ability to make money. If you rely on 996 to make money, you are essentially making money by working hard, selling your body. [/P]	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26002	"[C] We should abolish the 996 overtime system [/C] [F] [P] China's 996 overtime system leaves you with no room to learn and improve, forever trapped in a ""rat trap"". [/P]"	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26003	[C] We should abolish the 996 overtime system [/C] [A] [P] For the poor people, if they can go to the Internet factory, China's 996 overtime system is a blessing, twelve hours a day, six days a week, can also rest a day, quite good. [/P]	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26004	[C] We should abolish the 996 overtime system [/C] [F] [P] China's 996 overtime system violates labor laws. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
C26005	[C] We should abolish the 996 overtime system [/C] [A] [P] Corporate management seeks to maximize profits, and China's 996 overtime system can reduce operating costs, especially labor costs. [/P]	[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26006	[C] We should give up developing electric vehicles [/C] [A] [P] The electric car is driven by an electric motor and has a direct maximum torque at start-up, which is faster than the fuel car power section. [/P]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26007	[C] We should give up developing electric vehicles [/C] [A] [P] The intelligence of electric cars is much higher than that of fuel cars. [/P]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26008	[C] We should give up developing electric vehicles [/C] [A] [P] Electric cars are much cheaper to use than fuel cars over the life cycle of a car. [/P]	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26009	[C] We should give up developing electric vehicles [/C] [F] [P] The development of electric vehicle batteries is a highly polluting industry. Even the batteries will bring very serious pollution if they cannot be recycled. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
C26010	[C] We should give up developing electric vehicles [/C] [F] [P] Market orientation is difficult. In the absence of subsidies, no license restrictions and other policies, whether the sales of pure electric vehicles can still grow steadily is questionable. [/P]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26011	[C] We should give up developing electric vehicles [/C] [F] [P] Power battery energy density is relatively low and stability is not high, the battery industry needs to break through the technical bottleneck or find cost-effective alternative products. [/P]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26012	[C] We should give up developing electric vehicles [/C] [F] [P] The number of charging infrastructure construction is not enough. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26013	[C] We should give up developing electric vehicles [/C] [F] [P] Low user confidence, low acceptance of new things, even from earlier scandalous events in the electric vehicles industry. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
C26014	[C] We should ban the trading of virtual currencies. [/C] [F] [P] Virtual currency is a money laundering channel for criminals. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
C26015	[C] We should ban the trading of virtual currencies. [/C] [F] [P] Cracking down on virtual currencies is not only to ensure the smooth advancement of carbon peak and carbon neutrality, but also to protect the country's financial order. [/P]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
C26016	[C] We should ban the trading of virtual currencies. [/C] [F] [P] Virtual currency is not protected by contract law and property law in China. [/P]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26017	[C] We should ban the trading of virtual currencies. [/C] [F] [P] Digital currency not only cannot create foreign exchange, but also causes foreign exchange outflow [/P]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26018	[C] We should ban the trading of virtual currencies. [/C] [F] [P] Virtual currency-related business activities are illegal financial activities, and the provision of services by overseas virtual currency exchanges to Chinese residents through the Internet is also illegal financial activities. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
C26019	[C] We should ban the trading of virtual currencies. [/C] [F] [P] Virtual currency creation does not provide commodities with corresponding value to the market. [/P]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26020	[C] We should ban the trading of virtual currencies. [/C] [A] [P] Virtual currencies have changed the way of commercial realization. The birth of virtual currency, the token system, is designed to overturn the current business logic. [/P]	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26021	[C] We should ban the trading of virtual currencies. [/C] [A] [P] Cryptocurrency can change the way of value transmission, that is, it can allow the uncontrolled flow of funds around the world. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26022	[C] We should ban the trading of virtual currencies. [/C] [A] [P] The organizational structure brought about by the blockchain distributed technology replaces what a beautiful society this is. There is no corruption and it discards all the disadvantages of centralization. [/P]	[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26023	[C] We should ban the trading of virtual currencies. [/C] [A] [P] Security, virtual currency is encrypted with high aspect ratio data, after the sale is created, it is always unlikely to carry out changes and forgeries. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26024	[C] We should ban the trading of virtual currencies. [/C] [A] [P] The total production is controllable and the virtual currency prevents hyperinflation. [/P]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26025	[C] We should ban the trading of virtual currencies. [/C] [A] [P] Portable, because it is a virtual currency, so it is highly portable when it is bought and sold. [/P]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
