Argument ID	Text
F01000	Greed is like a slippery rock on which even the steps of scholars are not firm. therefore Habitual greed devalues humans
F01001	Greedy people, in order to achieve their goal, must accept any humiliation and question everyone and give up their character in order to achieve their greedy goals. therefore Habitual greed devalues humans
F01002	Whoever adopts greed as a habit devalues himself therefore Habitual greed devalues humans
F01003	Being greedy is eternal slavery therefore Habitual greed devalues humans
F01004	A greedy person does not see the dangers around her because of her or his love for their world and rushes ahead. therefore Habitual greed devalues humans
F01005	Disclosing hardships to those who do not have the ability to help does not have any effect but humiliating and abasing humans. In these situations, we should try not to complain and control ourselves. therefore Disclosing hardship humiliates humans
F01006	A wise man should conceal his secret in his heart since telling secrets to friends makes them sad and if the enemies know them, it will cause dishonor. therefore Disclosing hardship humiliates humans
F01007	Whoever discloses his hardship agrees to be humiliated therefore Disclosing hardship humiliates humans
F01008	Telling difficulties to friends and wise people helps us to benefit from their solutions and ideas. nevertheless Disclosing hardship humiliates humans
F01009	The believer's tongue is behind his heart, and so when he wants to speak, he first thinks about it and then tells it. But the hypocrite's tongue is in front of his heart, so when he decides to say something, he tells it without thinking. therefore Not controlling ones tongue debases humans
F01010	The one who speaks a lot will have lots of mistakes therefore Not controlling ones tongue debases humans
F01011	Speaking without thinking and not controlling the tongue can lead to regret. therefore Not controlling ones tongue debases humans
F01012	Whoever allows his tongue to overpower his soul debases the soul therefore Not controlling ones tongue debases humans
F01013	A man should not be blamed for taking his right with delay, but the blame lies in taking what is not his right. nevertheless We should not reprove everyone who does something wrong
F01014	Problems and difficulties which are the direct result of human actions, which are caused by ignorance, laziness, and not using opportunities on time, for these such a person is definitely to be blamed. nevertheless We should not reprove everyone who does something wrong
F01015	If someone has made a mistake, she or he should be told so that she does not repeat that mistake again. nevertheless We should not reprove everyone who does something wrong
F01016	Every mischief monger cannot even be reproved therefore We should not reprove everyone who does something wrong
F01017	One of the important effects and blessings of pardoning enemies and wrongdoers is that in many cases, they suddenly turn away and their enmity turns into sincere friendship. nevertheless No one's shortcomings are forgivable
F01018	Forgiving mistakes is so that people allow themselves to repeat the mistake. therefore No one's shortcomings are forgivable
F01019	The transformation of revenge into forgiveness has an important social effect, and that is that revenge proceeds exponentially and constantly creates murder and insecurity and never allows peace and tranquility to emerge in the society. While amnesty ends violence and brings peace to the society. nevertheless No one's shortcomings are forgivable
F01021	Mistakes will occur from your subordinates and there will be reasons for them and they will make mistakes intentionally or by mistake, so grant them your forgiveness and remission, just as you would like God to grant you his forgiveness and his remission. Because you are superior to them, and the one who gave you guardianship over that land is superior to you, and God is superior to the one who gave you guardianship. nevertheless No one's shortcomings are forgivable
F01022	Forgive the shortcomings of considerate people because when they fall into error, Allah raises them up nevertheless No one's shortcomings are forgivable
F01023	The fear and shame that sometimes arises for a person in the opportunities shows that the person is not ready to do that work and should wait until she or he is fully ready. nevertheless Opportunities should not be missed due to fear and bashfulness
F01025	The consequence of fear is disappointment and of bashfulness is frustration. therefore Opportunities should not be missed due to fear and bashfulness
F01027	Whenever a person conceals a thing in his heart, it manifests itself through unintentional words from his tongue and (in) the expressions of his face. therefore Unintentional words and face expressions can reveals what is hidden in a man's heart
F01028	The one who talks a lot has a lot of mistakes, and whoever made a lot of mistakes, his shame and modesty are little, and the one whose shame is little, his piety will also be little, and the one whose piety is little, his heart is dead. And the one whose heart is dead will fall in the fire of hell. therefore We should think before speaking
F01029	When the intellect becomes perfect, speech becomes less. therefore We should think before speaking
F01030	A wise man's tongue is behind his heart, and a fool's heart is behind his tongue therefore We should think before speaking
F01031	Your message shows the level of your intellect, and your letter is your most eloquent speaker therefore We should think before speaking
F01032	Your speech is in your bounds before you say it, and you will be in its bounds after saying it. So guard your tongue as you protect your gold and silver because perhaps a word that rejected a blessing or attracted a blessing. therefore We should think before speaking
F01033	The tongue is a predator that if you let it go, it will hurt you therefore We should think before speaking
F01034	With silence, human dignity will increase. therefore Silence is always good
F01035	A wise man's tongue is behind his heart, while a fool's heart is behind his tongue therefore Silence is always good
F01036	The perfection of politeness is in seven things: intellect, tolerance, patience, gentleness, silence, good manners and tolerance. therefore Silence is always good
F01037	The one who remains neutral and indifferent about the truth and chooses to be silent is like a dumb devil. therefore Silence is always good
F01038	There is no good in silence about matters involving wisdom just as there is no good in speaking with ignorance. nevertheless Silence is always good
F01040	Always being content and satisfied with anything leads to not seeking to fix deficiencies and not trying to improve. nevertheless We should have contentment
F01041	Close your eyes from hardships and sufferings so that you will always be happy therefore We should have contentment
F01042	She who is pleased with God's provision should not be sad about what is lost therefore We should have contentment
F01043	Contentment is enough for a person to be wealthy, and a good mood is enough for abundance of blessings. therefore We should have contentment
F01044	Man's attachments to position, wealth and worldly lusts reduce his courage and lead him into captivity. therefore We should have contentment
F01045	The greatest richness and lack of need are to give up dreams, because in order to achieve them, one has to ask for one needs in front of others, and has to spend peace of mind and soul to achieve one's dreams. therefore We should have contentment
F01046	Contentment is a wealth that is not exhausted. therefore We should have contentment
F01047	The worst sin is that which the one who commits it takes it lightly. therefore No sin should be taken lightly
F01048	Simple and personal sins that does not hurts the others can be taken lightly nevertheless No sin should be taken lightly
F01051	Untie all grudge from people and remove it from your heart and cut the string of enmity, and neglect what they have hidden from you, and do not acknowledge the talebearer since the talebearer is treacherous, even though it pretends to be good. therefore We should not backbite others
F01052	Backbiting is the tool of the helpless therefore We should not backbite others
F01053	Forbearance and endurance are twins and they are the product of high courage therefore We should show courage
F01054	Belief means that you should prefer truth (even) when it harms you rather than falsehood (even) when it benefits you, that your words should not be more than your action and that you should fear Allah when speaking about others therefore We should say the truth even if it harms us and we should not lie even if it benefits us.
F01055	What has a man to do with vanity? His origin is semen, his end is a carcass, while he cannot feed himself nor ward off death? therefore One should not have vanity
F01058	The most terrifying loneliness is selfishness therefore One should not have vanity
F01059	A sin that makes you regret is better than a good deed that makes you proud therefore One should not have vanity
F01061	Selfishness is an obstacle to growth. therefore One should not have vanity
F01062	enemies of the man who is satisfied with himself are many therefore One should not have vanity
F01063	whenever from your dominion and power you became proud, look at the greatness of God's kingdom, which is superior to you and he is capable of works that you are not. Such vision soothes your stubbornness and subdues your arrogance and restore your wisdom which has escaped from your therefore One should not have vanity
F01064	If you see someone who is older than you, say that he has surpassed me in faith and good deeds, then he is better than me, and if you see yourself as younger than you, say that I have sinned more than him, then he is better than me. And if you see your age, tell me that I am sure of my sin, and I doubt his sin, so why should I put my certainty on doubt? therefore One should not have vanity
F01065	Your turning away from the one who inclines towards you is a loss of your share of advantage, while your inclining towards one who turns away from you is selfhumiliation. therefore We should not turn away from one who is inclined towards us and should not be inclined toward who turns away from us
F01066	Respecting the right of someone who does not respect your rights is a form of slavery. therefore We should maintain our respect for ourselves
F01067	the one who did not know her own worth was destroyed therefore we should maintain our respect for ourselves
F01068	Whoever maintains his own respect in view, his desires appear light to him therefore we should maintain our respect for ourselves
F01069	A little that lasts is better than much that brings grief therefore Persistence in work is valuable
F01070	Justice puts things in their places while generosity takes them out from their directions. therefore Justice is better than generosity
F01071	 Justice is the general caretaker, while generosity is a particular benefit. therefore Justice is better than generosity
F01072	Forgiveness helps to give criminals who intend to return to the right path a chance again, while according to justice they must face their crime. nevertheless Justice is better than generosity
F01073	Anger corrupts faith like vinegar corrupts honey therefore We should not have anger
