Argument ID	Text
G01001	That victory required national cohesion, voluntary sacrifice for the common good and trust in institutions and each other. America’s response to Covid-19 suggests that we no longer have sufficient quantities of any of those things. therefore Could today’s version of America have been able to win World War II? It hardly seems possible.
G01002	This week my Times colleague Apoorva Mandavilli reported that experts now believe that America will not achieve herd immunity anytime soon. therefore Instead of being largely beaten, this disease could linger, as a more manageable threat, for generations.
G01003	A major reason is that about 30 percent of the U.S. population is reluctant to get vaccinated. therefore This week my Times colleague Apoorva Mandavilli reported that experts now believe that America will not achieve herd immunity anytime soon.
G01004	Researchers and reporters who talk to the vaccine-hesitant find that the levels of distrust, suspicion and alienation that have marred politics are now thwarting the vaccination process. They find people who doubt the competence of the medical establishment or any establishment, who assume as a matter of course that their fellow countrymen are out to con, deceive and harm them. therefore That basic sense of peoplehood, of belonging to a common enterprise with a shared destiny, is exactly what’s lacking today.
G01005	Why should I take a risk on an experimental vaccine? therefore This “the only person you can trust is yourself” mentality has a tendency to cause people to conceive of themselves as individuals and not as citizens.
G01006	I’m not especially vulnerable. I may have already gotten the virus. If I get it in the future it won’t be that bad. therefore Why should I take a risk on an experimental vaccine?
G01007	Trust levels in any society tend to be reasonably accurate representations of how trustworthy that society has been. therefore Most of the time distrust is earned distrust.
G01008	If you distrust the people around you because you think they have bad values or are out to hurt you, then you are going to be slow to reach out to solve common problems. Your problems will have a tendency to get worse, which seems to justify and then magnify your distrust. therefore The other thing to say is that once it is established, distrust tends to accelerate.
G01009	although the number of people who receive a dose each day is down from its peak. nevertheless Vaccination is going relatively well in this country,
G01010	But right now, this moment feels to many like the beginning of the end of the pandemic. nevertheless Things could always get bad again, and the C.D.C. could always update its guidance and reintroduce more aggressive restrictions.
G01011	Still, even after the virus is brought under control it is still likely to have lingering effects. nevertheless But right now, this moment feels to many like the beginning of the end of the pandemic.
G01012	because more than 30 million Americans have already been infected with the virus. therefore This is quite significant
G01013	Neither of us wants to be the alarmist in the relationship, not when we are young and healthy and so far removed from harm’s way. therefore “No. It’s not so dangerous for us.”
G01014	Grocery stores are stocked, we are getting everything delivered without any issues, the hospitals are not crowded. therefore Besides, Shanghai is in good shape.
G01015	to put an ocean between us and this sprawling epidemic. therefore Our family and friends are all worried about us, urging us to return to the United States while we still can,
G01016	We have a couple of boxes of masks, jugs of drinking water, potatoes and cabbages, instant noodles, cereal and a couple of frozen steaks. therefore Even if the situation in Shanghai becomes less comfortable, we are not helpless.
G01017	especially since I have very little trust in the Chinese government, given its track record. therefore When I really think about it, it makes no sense for me to be so laid back about this virulent new disease,
G01018	Yesterday, I saw on social media that someone noticed that the ratio in the official figures for the total dead to the total diagnosed cases has remained exactly 2.1 percent every day since Jan. 30. therefore I managed to convince myself for a while that everything would be fine, but it was only a matter of time before something came along to shatter this illusion.
G01019	Graphs of the coronavirus curves in Britain, Canada, Germany and Italy look like mountains, with steep climbs up and then back down. The one for America shows a fast climb up to a plateau. For a while, the number of new cases in the U.S. was at least slowly declining. Now, according to The Times, it’s up a terrifying 22 percent over the last 14 days. therefore No other developed country is doing so badly
G01020	At the federal level as well as in many states, we’re seeing a combination of the blustering contempt for science that marks the conservative approach to climate change and the high tolerance for carnage that makes American gun culture unique. therefore Republican political dysfunction has made a coherent campaign to fight the pandemic impossible.
G01021	At the beginning of the crisis Trump acted as if he could wish the coronavirus away, and after an interval when he at least pretended to take it seriously, his administration has resumed a posture of blithe denial. therefore The rot starts at the top.
G01022	Now, as New York gingerly reopens, Arizona has become a hot spot — which isn’t stopping Trump from holding a rally at a Phoenix megachurch on Tuesday. Cases are also soaring in Texas, Florida and several other states. therefore An epidemic that was once concentrated in blue states is increasingly raging in red ones.
G01023	New York’s governor, Andrew Cuomo, not only forced nursing homes to take back residents who’d been hospitalized for the coronavirus, he barred them from testing the residents to see if they were still infected. therefore When coronavirus cases started exploding on the East Coast in March, there were devastating failures by Democratic leaders.
G01024	Still, by the time New York’s cases got to where Arizona’s are now, he at least understood that the state faced calamity and imposed the lockdown that helped bring it back from the abyss. nevertheless Given how Cuomo’s errors contributed to New York’s catastrophe, it’s hard to say how much credit he deserves for eventually rising to the occasion.
G01025	Across the country, public health workers have faced death threats, harassment and armed protesters at their homes. therefore The paranoia and resentment that have long been part of the culture of the modern right are now directed at those warning about the ongoing dangers of the pandemic.
G01026	your health; the prevalence of cases where you live; the safety precautions being taken any place you want to visit. But the final answer may depend on your individual risk tolerance for exposure to infectious disease. therefore There are many knowable parameters in the equation:
G01027	In a world of effective antibiotics and antivirals and other treatments, deaths or even serious illnesses from infectious disease seem nearly incomprehensible. therefore So our fear is enormous, and our risk tolerance for exposure is just about zero.
G01028	Even if one of the current vaccine candidates works, it could be quite a while before it’s widely distributed. And to be approved by the Food and Drug Administration, it has to protect only half of the people who take it from infection. therefore I hear too many people saying “I’m not going back to life until there’s a vaccine” — as if that will immediately eliminate the risk. It won’t.
G01029	For the foreseeable future we will be living in a world with some level of coronavirus out there. therefore So if we want to get out of our bunkers, we all need to take stock of our risk tolerance.
G01030	Risk tolerance is about duty and conscience but very often it’s also about how much you need a paycheck. therefore Some, of course, never got to make this decision.
G01031	Now many physicians I know in Covid-19 hot spots say they actually feel safest in the hospital, where procedures like masking and sanitizing are assiduously followed. (Hell hath no fury like a surgeon who witnesses a medical student touch a sterile surface with an unsterile hand.) In contrast, on the sidewalk, the coronavirus could be roaming free if people aren’t wearing masks. therefore Which is why masking should be mandated and enforced.
G01032	It’s not just about your individual risk tolerance, but about keeping everyone safe therefore Which is why masking should be mandated and enforced.
G01033	But once schools have put in place appropriate science-based steps, most teachers (those not in high-risk groups) should return to their jobs. nevertheless I do not blame teachers for being unwilling to return to school in places where administrators and local officials have been in denial about Covid-19 or have been unwilling or unable to do this preparatory work.
G01034	As someone who suffers from pretty significant anxiety about my health therefore I am, in theory, the last person who should ever do any medical trial at all, and, on the way up to the hospital, this thought occurred to me numerous times.
