Argument ID	Text	Labels
A01002	We should ban human cloning in favor of we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01005	We should ban fast food in favor of fast food should be banned because it is really bad for your health and is costly.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01011	We should abolish the three-strikes laws in favor of three strike laws can cause young people to be put away for life without a chance to straight out their life	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]
A01015	We should adopt an austerity regime in favor of we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A01019	We should ban factory farming in favor of factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A01020	We should subsidize journalism in favor of It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A02004	We should ban cosmetic surgery for minors in favor of children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
A02005	We should legalize prostitution in favor of we should legalize prostitution because it will be regulated meaning the females will be safer	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A02006	We should subsidize embryonic stem cell research in favor of embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A02007	We should ban algorithmic trading in favor of algorithms may not be 100% accurate and reflect the situation in the real market	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A02008	We should legalize organ trade in favor of We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]
A02011	We should fight for the abolition of nuclear weapons in favor of nuclear weapons pose too serious a threat to our world.  we must abolish them now.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]
A02012	We should ban telemarketing in favor of telemarketing doesn't differentiate between people who are interested in being called and those who aren't	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
A02013	We should prohibit school prayer in favor of school prayer cannot account for the array of beliefs or non-beliefs students may hold.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
A02015	We should ban the Church of Scientology in favor of they are nothing but a cult and manipulate their members	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A02016	We should legalize organ trade in favor of we need more organs than people donate so legalizing it would be a good thing	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A02019	We should prohibit school prayer in favor of School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
A03001	We should introduce compulsory voting in favor of where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A03003	We should ban the Church of Scientology in favor of there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A03006	We should legalize cannabis in favor of cannabis has been shown to be safer than alcohol and less addictive.  there is no real reason to keep it an illegal substance.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A03008	We should abolish zoos in favor of we should abolish zoos as animals should not be kept in captivity and should be in a natural environment.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
A03009	We should ban fast food in favor of fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A03010	We should adopt a multi-party system in favor of it would give people more of a choice  and provides someone for every culture to vote for	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A03011	We should ban fast food in favor of fast food is bad for our health and we really should ban any of it	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A03012	We should stop the development of autonomous cars in favor of autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]
A03013	We should subsidize journalism in favor of journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach.	[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A03015	We should cancel pride parades in favor of pride parades create a huge disturbance	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
A03017	We should ban factory farming in favor of factory farms keep animals in tight spaces.  they are forced to live in cages and not allowed to roam as they were meant to.	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]
A03019	We should abolish capital punishment in favor of capital punishment has been proven ineffective in reducing crime rates.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A04003	We should abandon the use of school uniform in favor of School uniforms keep children from being able to express themselves through their clothing choices.	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A04004	We should ban human cloning in favor of human cloning is an unnatural act that goes against the laws of nature.  it is too dangerous of an act and is something man should not be tampering with.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
A04006	We should cancel pride parades in favor of why should homosexuals have a pride parade?heterosexuals don't have them!	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A04008	We should adopt a multi-party system in favor of We should adopt a multi-party system as the current two party system does not fit the diverse society that it is supposed to represent.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]
