EX_Number,Seed,Checkpoint,Params,Train_Time,Device,Num_Examples,Epochs,Train_F1,Val_F1,Zhihu_F1,Train_loss,Val_loss,Zhihu_loss
0,2023,bert-base-uncased,109497620,620.4132,NVIDIA GeForce GTX 1650,5393,3,0.551040403770384,0.348635059228736,0.222862054709965,0.228390544652939,0.330227553844452,0.283307313919067
3,2023,bert-base-uncased,109497620,2069.0653,NVIDIA GeForce GTX 1650,5393,10,0.965670514098552,0.408124843835212,0.301774283644401,0.04505979642272,0.442423939704895,0.374194175004959
4,2023,bert-base-uncased,109497620,590.1447,NVIDIA GeForce GTX 1650,2898,5,0.675270991616848,0.297322967949693,0.234700501253133,0.182655438780785,0.357641339302063,0.301190286874771
5,2023,bert-base-uncased,109497620,447.9358,NVIDIA GeForce GTX 1650,2495,5,0.665665434154337,0.367599444632938,0.209587946838401,0.187832206487656,0.331143498420715,0.270861893892288
4 + 5,2023,bert-base-uncased,218995240,1038.0805,NVIDIA GeForce GTX 1650,5393,5,0.696594147324147,0.352605077160588,0.250173616411745,,,
6,2023,bert-base-uncased,109497620,1027.9769,NVIDIA GeForce GTX 1650,5393,5,0.756699431564185,0.385950893963116,0.316385417747827,0.152217820286751,0.350710898637772,0.30721378326416
7,2023,bert-base-uncased,109497620,1020.4378,NVIDIA GeForce GTX 1650,5393,5,0.751703035345512,0.377458333260228,0.26242068492906,0.152667105197907,0.346053451299667,0.295904874801636
6,2023,bert-base-uncased,109497620,1042.1091,NVIDIA GeForce GTX 1650,5393,5,0.756699431564185,0.385950893963116,0.316385417747827,0.152217820286751,0.350710898637772,0.30721378326416
7,2023,bert-base-uncased,109497620,1041.1939,NVIDIA GeForce GTX 1650,5393,5,0.751703035345512,0.377458333260228,0.26242068492906,0.152667105197907,0.346053451299667,0.295904874801636
8,2023,bert-base-uncased,109497620,1056.7766,NVIDIA GeForce GTX 1650,5611,5,0.767434682464096,0.385137668716207,0.31801266908907,0.144538074731827,0.345621526241302,0.301613003015518
9,2023,bert-base-uncased,109497620,1122.017,NVIDIA GeForce GTX 1650,5829,5,0.793729506336435,0.386060756334553,0.31810496512903,0.13273486495018,0.352452158927917,0.303545922040939
10,2023,bert-base-uncased,109497620,1247.1847,NVIDIA GeForce GTX 1650,6701,5,0.846454841419738,0.403441451505595,0.301294953806329,0.103131026029587,0.359607666730881,0.31572100520134
11,5619,bert-base-uncased,109497620,1050.4551,NVIDIA GeForce GTX 1650,5393,5,0.746707220974942,0.378784447807609,0.31145790302653,0.156595721840858,0.350521177053452,0.29962694644928
12,5619,bert-base-uncased,109497620,1237.5612,NVIDIA GeForce GTX 1650,6701,5,0.843813214988246,0.398968510480554,0.334778091986689,0.105944707989693,0.360283523797989,0.304947286844254
13,1437,bert-base-uncased,109497620,1024.0089,NVIDIA GeForce GTX 1650,5393,5,0.746544456041294,0.383048704113873,0.24695934877657,0.150950133800507,0.348675668239593,0.293163120746613
14,1437,bert-base-uncased,109497620,1244.908,NVIDIA GeForce GTX 1650,6701,5,0.854235381871734,0.398076814181771,0.325852523106007,0.101772122085094,0.356270313262939,0.299995392560959
15,2387,bert-base-uncased,109497620,1041.6177,NVIDIA GeForce GTX 1650,5393,5,0.754802854209665,0.379699854025117,0.262237113476166,0.148919776082039,0.351966828107834,0.304249495267868
16,2387,bert-base-uncased,109497620,1232.3139,NVIDIA GeForce GTX 1650,6701,5,0.846293615508644,0.399796333022489,0.308637638788267,0.10479298979044,0.360416829586029,0.318427473306656
17,2023,bert-base-uncased,109497620,1168.5529,NVIDIA GeForce GTX 1650,6265,5,0.817462410975851,0.392223702071523,0.316814998394182,0.118727318942547,0.355413317680359,0.301867723464966
18,2023,bert-base-uncased,109497620,1163.2448,NVIDIA GeForce GTX 1650,6265,5,0.825396870509722,0.399387259102943,0.316520680240217,0.117068774998188,0.352607309818268,0.307192027568817
19,2023,bert-base-uncased,109497620,1166.4544,NVIDIA GeForce GTX 1650,6265,5,0.829511549658274,0.387680212153785,0.313684802178933,0.115843459963799,0.356284469366074,0.309179544448853
18,5619,bert-base-uncased,109497620,1162.0481,NVIDIA GeForce GTX 1650,6265,5,0.816646854920528,0.397998472042815,0.264189851050987,0.120027139782906,0.357855439186096,0.310736298561096
19,1437,bert-base-uncased,109497620,1199.24,NVIDIA GeForce GTX 1650,6265,5,0.829805758843107,0.398333063163621,0.280841423105445,0.114927478134632,0.355561584234238,0.296729922294617
20,2387,bert-base-uncased,109497620,1187.2544,NVIDIA GeForce GTX 1650,6265,5,0.822282300161691,0.392102275141296,0.316151063830116,0.114812448620796,0.355021983385086,0.300024211406708
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
15,2387,bert-base-uncased,109497620,1041.6177,NVIDIA GeForce GTX 1650,5393,5,0.754802854209665,0.379699854025117,0.262237113476166,0.148919776082039,0.351966828107834,0.304249495267868
20,2387,bert-base-uncased,109497620,1187.2544,NVIDIA GeForce GTX 1650,6265,5,0.822282300161691,0.392102275141296,0.316151063830116,0.114812448620796,0.355021983385086,0.300024211406708
16,2387,bert-base-uncased,109497620,1232.3139,NVIDIA GeForce GTX 1650,6701,5,0.846293615508644,0.399796333022489,0.308637638788267,0.10479298979044,0.360416829586029,0.318427473306656
,,,,,,,,,,,,,
,,,,,,,,,,,,,
13,1437,bert-base-uncased,109497620,1024.0089,NVIDIA GeForce GTX 1650,5393,5,0.746544456041294,0.383048704113873,0.24695934877657,0.150950133800507,0.348675668239593,0.293163120746613
19,1437,bert-base-uncased,109497620,1199.24,NVIDIA GeForce GTX 1650,6265,5,0.829805758843107,0.398333063163621,0.280841423105445,0.114927478134632,0.355561584234238,0.296729922294617
14,1437,bert-base-uncased,109497620,1244.908,NVIDIA GeForce GTX 1650,6701,5,0.854235381871734,0.398076814181771,0.325852523106007,0.101772122085094,0.356270313262939,0.299995392560959
,,,,,,,,,,,,,
,,,,,,,,,,,,,
11,5619,bert-base-uncased,109497620,1050.4551,NVIDIA GeForce GTX 1650,5393,5,0.746707220974942,0.378784447807609,0.31145790302653,0.156595721840858,0.350521177053452,0.29962694644928
18,5619,bert-base-uncased,109497620,1162.0481,NVIDIA GeForce GTX 1650,6265,5,0.816646854920528,0.397998472042815,0.264189851050987,0.120027139782906,0.357855439186096,0.310736298561096
12,5619,bert-base-uncased,109497620,1237.5612,NVIDIA GeForce GTX 1650,6701,5,0.843813214988246,0.398968510480554,0.334778091986689,0.105944707989693,0.360283523797989,0.304947286844254
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6,2023,bert-base-uncased,109497620,1042.1091,NVIDIA GeForce GTX 1650,5393,5,0.756699431564185,0.385950893963116,0.316385417747827,0.152217820286751,0.350710898637772,0.30721378326416
17,2023,bert-base-uncased,109497620,1168.5529,NVIDIA GeForce GTX 1650,6265,5,0.817462410975851,0.392223702071523,0.316814998394182,0.118727318942547,0.355413317680359,0.301867723464966
10,2023,bert-base-uncased,109497620,1247.1847,NVIDIA GeForce GTX 1650,6701,5,0.846454841419738,0.403441451505595,0.301294953806329,0.103131026029587,0.359607666730881,0.31572100520134
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
seed,Checkpoint,experiment,,,,,,,,,,,
5619,Roberta-base,12,,,seed,Checkpoint,experiment,,,seed,Checkpoint,experiment,
Epoch,Training Loss,Validation Loss,F1,,5619,Roberta-base,18,,,5619,Roberta-base,9,
1,0.3653,0.35118,0.250581,,Epoch,Training Loss,Validation Loss,F1,,Epoch,Training Loss,Validation Loss,F1
